time/total_timesteps,time/iterations,rollout/ep_len_mean,rollout/ep_rew_mean,time/time_elapsed,time/fps,train/approx_kl,train/loss,train/n_updates,train/clip_fraction,train/clip_range,train/learning_rate,train/value_loss,train/explained_variance,train/policy_gradient_loss,train/entropy_loss,train/std
102000,20,15000.0,-1857220.580626,425,4,1.7881393e-09,82008.8984375,5090,0.0,0.2,0.0003,163215.078125,-0.012900710105895996,-1.0345697311997525e-05,-2.8408793926239015,1.0015090703964233
102100,21,15000.0,-1857220.580626,445,4,2.3841857e-09,61614.4609375,5095,0.0,0.2,0.0003,127596.04375,-1.5970618724822998,5.638599475332739e-07,-2.8408915996551514,1.0015060901641846
102200,22,15000.0,-1857220.580626,467,4,0.0,1074746.375,5100,0.0,0.2,0.0003,2150337.4,-0.05657029151916504,-9.480714595611062e-07,-2.840876579284668,1.0014970302581787
102300,23,15000.0,-1857220.580626,487,4,0.0,31181.17578125,5105,0.0,0.2,0.0003,66526.328125,-1.5186688899993896,-2.730727193878124e-06,-2.8408616542816163,1.0014914274215698
102400,24,15000.0,-1857220.580626,507,4,0.0,85879.7109375,5110,0.0,0.2,0.0003,188667.44375,-0.09122765064239502,-2.155780804002916e-06,-2.840853786468506,1.0014903545379639
102500,25,15000.0,-1857220.580626,527,4,0.0,53903.81640625,5115,0.0,0.2,0.0003,110549.9734375,-0.9726884365081787,-1.1416673439956782e-06,-2.840852737426758,1.0014886856079102
102600,26,15000.0,-1857220.580626,547,4,0.0,202022.578125,5120,0.0,0.2,0.0003,397036.1625,-4.934825897216797,2.3245811249239522e-07,-2.8408467769622803,1.0014851093292236
102700,27,15000.0,-1857220.580626,566,4,0.0,208630.09375,5125,0.0,0.2,0.0003,438596.44375,-1.6549973487854004,-2.764940241917202e-06,-2.8408398628234863,1.001481533050537
102800,28,15000.0,-1857220.580626,586,4,0.0,465046.125,5130,0.0,0.2,0.0003,924587.325,0.4726299047470093,-1.5920400876723307e-06,-2.8408324241638185,1.0014777183532715
102900,29,15000.0,-1857220.580626,605,4,0.0,193318.140625,5135,0.0,0.2,0.0003,393570.65625,-0.03475451469421387,4.3332575998533686e-07,-2.840826225280762,1.0014770030975342
103000,30,15000.0,-1857220.580626,626,4,3.5762786e-09,167760.28125,5140,0.0,0.2,0.0003,338178.9125,0.16589951515197754,-1.1711120620105931e-05,-2.8408343315124513,1.0014925003051758
103100,31,15000.0,-1857220.580626,644,4,1.3113022e-08,81614.6953125,5145,0.0,0.2,0.0003,182578.23125,-2.433583974838257,-7.96127351350151e-06,-2.8408746242523195,1.0015125274658203
103200,32,15000.0,-1857220.580626,663,4,0.0,69806.8359375,5150,0.0,0.2,0.0003,167060.265625,-0.09947335720062256,5.637109251210859e-06,-2.840909004211426,1.0015270709991455
103300,33,15000.0,-1857220.580626,684,4,1.1920929e-09,53466.49609375,5155,0.0,0.2,0.0003,115963.5265625,-1.4951035976409912,-5.039453560584661e-06,-2.8409374237060545,1.001542568206787
103400,34,15000.0,-1857220.580626,704,4,0.0,30885.58984375,5160,0.0,0.2,0.0003,71728.4875,-10.998208045959473,1.0393261631769235e-06,-2.840968608856201,1.00155508518219
103500,35,15000.0,-1857220.580626,724,4,0.0,13950.080078125,5165,0.0,0.2,0.0003,37309.2546875,-4.818758010864258,-6.6224337951226175e-06,-2.8409809112548827,1.0015474557876587
103600,36,15000.0,-1857220.580626,743,4,1.7881393e-09,17464.755859375,5170,0.0,0.2,0.0003,30912.898828125,-1.0408425331115723,-7.877349997187366e-06,-2.840936231613159,1.001505970954895
103700,37,15000.0,-1857220.580626,762,4,3.5762786e-09,125698.828125,5175,0.0,0.2,0.0003,258037.878125,-0.37557244300842285,-1.620459567490684e-05,-2.8408491611480713,1.0014642477035522
103800,38,15000.0,-1857220.580626,783,4,5.9604643e-10,135676.5625,5180,0.0,0.2,0.0003,292649.35625,-0.7382020950317383,4.1174888494310834e-07,-2.8407753467559815,1.00143563747406
103900,39,15000.0,-1857220.580626,805,4,0.0,99216.3515625,5185,0.0,0.2,0.0003,224282.94375,-8.52428150177002,7.976293886713392e-07,-2.8407296180725097,1.0014206171035767
104000,40,15000.0,-1857220.580626,826,4,0.0,574274.0625,5190,0.0,0.2,0.0003,1238227.775,-0.2764146327972412,4.312992047061925e-07,-2.840706634521484,1.0014128684997559
104100,41,15000.0,-1857220.580626,845,4,0.0,63703.4765625,5195,0.0,0.2,0.0003,132457.646875,-0.29974961280822754,-1.3152360409662833e-06,-2.8406904220581053,1.001394510269165
104200,42,15000.0,-1857220.580626,865,4,8.34465e-09,126056.9375,5200,0.0,0.2,0.0003,234526.15625,-0.9768195152282715,2.125263182506387e-06,-2.840629816055298,1.001358985900879
104300,43,15000.0,-1857220.580626,884,4,5.3644182e-09,28718.9609375,5205,0.0,0.2,0.0003,61704.11640625,-1.6903562545776367,-6.642103255316556e-06,-2.840573024749756,1.0013408660888672
104400,44,15000.0,-1857220.580626,903,4,0.0,197294.734375,5210,0.0,0.2,0.0003,430313.225,-1.603255271911621,-6.9946049043423384e-06,-2.8405460357666015,1.0013320446014404
104500,45,15000.0,-1857220.580626,923,4,5.9604643e-10,186963.140625,5215,0.0,0.2,0.0003,402727.2375,0.011693596839904785,2.286136148477169e-06,-2.840528726577759,1.001321792602539
104600,46,15000.0,-1857220.580626,942,4,0.0,276286.59375,5220,0.0,0.2,0.0003,556763.4,0.3081521987915039,-8.083105103651179e-06,-2.840521717071533,1.0013411045074463
104700,47,15000.0,-1857220.580626,961,4,3.5762786e-09,108500.140625,5225,0.0,0.2,0.0003,242859.309375,-2.707498788833618,4.68349442215299e-06,-2.840581464767456,1.0013718605041504
104800,48,15000.0,-1857220.580626,981,4,0.0,160302.65625,5230,0.0,0.2,0.0003,364199.6125,-0.6551799774169922,-7.6055528438701e-06,-2.840632104873657,1.0013911724090576
104900,49,15000.0,-1857220.580626,999,4,0.0,317134.6875,5235,0.0,0.2,0.0003,708288.1375,-6.7669148445129395,4.366874770767027e-06,-2.8406651973724366,1.001403570175171
105000,50,15000.0,-1857220.580626,1019,4,0.0,189941.28125,5240,0.0,0.2,0.0003,434574.6,-1.8727517127990723,-1.1438131295449239e-06,-2.840684509277344,1.0014097690582275
105100,51,15000.0,-1857220.580626,1040,4,0.0,207029.71875,5245,0.0,0.2,0.0003,479635.4375,-1.0981550216674805,3.4928322030225444e-07,-2.840694522857666,1.0014140605926514
105200,52,15000.0,-1857220.580626,1059,4,0.0,122709.7421875,5250,0.0,0.2,0.0003,271609.6125,-0.2553989887237549,-6.297826746326507e-07,-2.84070405960083,1.001420259475708
105300,53,15000.0,-1857220.580626,1078,4,0.0,1146056.5,5255,0.0,0.2,0.0003,2228559.55,-0.3500797748565674,7.705688460646343e-07,-2.8407161712646483,1.0014243125915527
105400,54,15000.0,-1857220.580626,1097,4,0.0,742059.9375,5260,0.0,0.2,0.0003,1501107.075,-0.008519887924194336,1.7261505362853314e-07,-2.8407209873199464,1.00142502784729
105500,55,15000.0,-1857220.580626,1118,4,0.0,957728.5,5265,0.0,0.2,0.0003,1988246.925,-0.2604013681411743,-5.006790004813411e-07,-2.8407217502593993,1.0014255046844482
105600,56,15000.0,-1857220.580626,1136,4,0.0,308449.125,5270,0.0,0.2,0.0003,657117.8625,-0.883926510810852,-1.2109279566629993e-06,-2.8407251834869385,1.0014296770095825
105700,57,15000.0,-1857220.580626,1156,4,0.0,195868.5,5275,0.0,0.2,0.0003,429354.93125,0.14177465438842773,-2.2845267617199737e-06,-2.84073543548584,1.0014352798461914
105800,58,15000.0,-1857220.580626,1175,4,1.1920929e-09,85089.8828125,5280,0.0,0.2,0.0003,179137.921875,0.1478549838066101,-4.380941441439745e-06,-2.840751314163208,1.0014514923095703
105900,59,15000.0,-1857220.580626,1195,4,1.1920929e-09,39315.77734375,5285,0.0,0.2,0.0003,73919.278125,-1.5103628635406494,-1.1630058661893373e-06,-2.84078426361084,1.0014585256576538
106000,60,15000.0,-1857220.580626,1214,4,1.1920929e-09,96291.21875,5290,0.0,0.2,0.0003,208802.209375,-2.405285358428955,-8.28742964209539e-06,-2.8407867908477784,1.0014564990997314
106100,61,15000.0,-1857220.580626,1234,4,0.0,50726.25390625,5295,0.0,0.2,0.0003,118357.9953125,-8.431544303894043,7.877349890605955e-07,-2.8407851219177247,1.0014586448669434
106200,62,15000.0,-1857220.580626,1254,4,0.0,31558.07421875,5300,0.0,0.2,0.0003,76706.5453125,-1.8819596767425537,-3.6742687896662574e-06,-2.840790843963623,1.0014610290527344
106300,63,15000.0,-1857220.580626,1275,4,0.0,34422.98828125,5305,0.0,0.2,0.0003,86419.1453125,-0.5930887460708618,-2.0649432844521697e-06,-2.8407941341400145,1.0014622211456299
106400,64,15000.0,-1857220.580626,1294,4,0.0,26233.119140625,5310,0.0,0.2,0.0003,60077.64140625,-3.8373284339904785,-1.8985271367455426e-06,-2.8407965660095216,1.0014629364013672
106500,65,15000.0,-1857220.580626,1314,4,5.9604643e-10,62333.828125,5315,0.0,0.2,0.0003,117376.2515625,-1.6884267330169678,-6.40010834107585e-06,-2.8407986640930174,1.0014653205871582
106600,66,15000.0,-1857220.580626,1335,4,4.7683715e-09,71124.296875,5320,0.0,0.2,0.0003,142857.021875,-0.845594048500061,-6.634712347519667e-06,-2.840795087814331,1.001446008682251
106700,67,15000.0,-1857220.580626,1358,4,7.7486035e-09,604474.625,5325,0.0,0.2,0.0003,1245693.275,0.022945523262023926,-4.481792464439138e-06,-2.8407341480255126,1.001413345336914
106800,68,15000.0,-1857220.580626,1377,4,2.9802323e-09,204755.5,5330,0.0,0.2,0.0003,436916.4875,0.11319172382354736,6.58392894545834e-06,-2.840680742263794,1.0013954639434814
106900,69,15000.0,-1857220.580626,1397,4,1.1920929e-09,446949.71875,5335,0.0,0.2,0.0003,875641.6375,0.020881175994873047,2.3168325569145054e-06,-2.8406517028808596,1.0013843774795532
107000,70,15000.0,-1857220.580626,1418,4,0.0,183362.90625,5340,0.0,0.2,0.0003,373446.925,0.27938205003738403,-2.2065639996071695e-06,-2.8406320571899415,1.0013765096664429
107100,71,15000.0,-1857220.580626,1437,4,0.0,115830.6796875,5345,0.0,0.2,0.0003,229996.965625,-0.9620002508163452,2.696514187050525e-07,-2.840619421005249,1.001373052597046
107200,72,15000.0,-1857220.580626,1458,4,0.0,953634.875,5350,0.0,0.2,0.0003,1931150.2,-0.09955084323883057,-2.122878991883681e-06,-2.840614748001099,1.0013713836669922
107300,73,15000.0,-1857220.580626,1476,4,0.0,801508.9375,5355,0.0,0.2,0.0003,1664130.6,-0.06201350688934326,-2.713203459236979e-07,-2.840612030029297,1.0013705492019653
107400,74,15000.0,-1857220.580626,1495,4,0.0,295627.03125,5360,0.0,0.2,0.0003,628512.525,0.15421277284622192,2.306699713017224e-07,-2.840611219406128,1.0013704299926758
107500,75,15000.0,-1857220.580626,1516,4,0.0,88071.65625,5365,0.0,0.2,0.0003,170938.49375,-7.5969648361206055,-2.12419036049738e-06,-2.8406046867370605,1.0013599395751953
107600,76,15000.0,-1857220.580626,1536,4,0.0,323988.65625,5370,0.0,0.2,0.0003,652737.5,0.185011088848114,-1.2556314498368693e-06,-2.8405816555023193,1.0013513565063477
107700,77,15000.0,-1857220.580626,1557,4,0.0,97972.3671875,5375,0.0,0.2,0.0003,219725.05,-0.016656994819641113,1.6167163366276327e-06,-2.8405685424804688,1.0013456344604492
107800,78,15000.0,-1857220.580626,1576,4,0.0,53104.3984375,5380,0.0,0.2,0.0003,125554.1796875,0.19581913948059082,-2.6218295651858624e-06,-2.8405571937561036,1.0013408660888672
107900,79,15000.0,-1857220.580626,1595,4,0.0,244728.125,5385,0.0,0.2,0.0003,552872.7625,-16.464319229125977,1.2063979923482294e-06,-2.840549898147583,1.001339077949524
108000,80,15000.0,-1857220.580626,1614,4,0.0,103290.75,5390,0.0,0.2,0.0003,243642.053125,-2.391622543334961,5.660057013301411e-07,-2.8405468463897705,1.0013371706008911
108100,81,15000.0,-1857220.580626,1634,4,0.0,237977.5625,5395,0.0,0.2,0.0003,550020.05625,-6.527149677276611,-2.889633140767955e-07,-2.8405431747436523,1.001335859298706
108200,82,15000.0,-1857220.580626,1654,4,0.0,293787.65625,5400,0.0,0.2,0.0003,641832.975,-0.1392737627029419,-1.9574165888158745e-07,-2.8405413150787355,1.0013351440429688
108300,83,15000.0,-1857220.580626,1672,4,0.0,137288.4375,5405,0.0,0.2,0.0003,325988.8,-0.04830193519592285,-2.940893132574729e-07,-2.8405405044555665,1.0013355016708374
108400,84,15000.0,-1857220.580626,1692,4,0.0,241280.90625,5410,0.0,0.2,0.0003,549627.99375,-0.9654512405395508,-1.0550021869448756e-07,-2.8405432224273683,1.0013387203216553
108500,85,15000.0,-1857220.580626,1712,4,0.0,384668.5625,5415,0.0,0.2,0.0003,744068.675,0.13485491275787354,-1.0380744782878538e-06,-2.8405505180358888,1.0013418197631836
108600,86,15000.0,-1857220.580626,1732,4,0.0,89649.9765625,5420,0.0,0.2,0.0003,193942.203125,-0.11077845096588135,-1.628994951374807e-06,-2.8405574321746827,1.001347303390503
108700,87,15000.0,-1857220.580626,1751,4,0.0,278997.1875,5425,0.0,0.2,0.0003,553817.0625,0.528849184513092,-1.3666153137137372e-06,-2.8405699729919434,1.0013537406921387
108800,88,15000.0,-1857220.580626,1769,4,0.0,123229.3671875,5430,0.0,0.2,0.0003,248371.721875,-0.010359764099121094,-5.376100374654413e-06,-2.8405786037445067,1.0013530254364014
108900,89,15000.0,-1857220.580626,1790,4,0.0,93817.0234375,5435,0.0,0.2,0.0003,189057.790625,0.17898374795913696,-2.1071434446184867e-06,-2.840575122833252,1.0013527870178223
109000,90,15000.0,-1857220.580626,1810,4,6.556511e-09,25091.130859375,5440,0.0,0.2,0.0003,50709.6703125,-3.341703414916992,-1.402807234627268e-05,-2.840617561340332,1.0014269351959229
109100,91,15000.0,-1857220.580626,1829,4,9.536743e-09,547884.6875,5445,0.0,0.2,0.0003,1106525.5,-0.217323899269104,-2.980113025330411e-06,-2.8408020973205566,1.0015158653259277
109200,92,15000.0,-1857220.580626,1848,4,0.0,3959523.5,5450,0.0,0.2,0.0003,8070772.4,0.08196073770523071,-3.3149719044445193e-06,-2.840947675704956,1.0015685558319092
109300,93,15000.0,-1857220.580626,1868,4,2.3841857e-09,2525084.25,5455,0.0,0.2,0.0003,5227834.3,0.24852776527404785,7.741451440779201e-07,-2.8410335063934324,1.0015994310379028
109400,94,15000.0,-1857220.580626,1888,4,0.0,2732685.5,5460,0.0,0.2,0.0003,5706302.6,0.2670471668243408,-1.0623931629538675e-06,-2.8410839080810546,1.001617670059204
109500,95,15000.0,-1857220.580626,1909,4,0.0,2765770.25,5465,0.0,0.2,0.0003,5796048.5,-0.08932626247406006,-1.2643337356621487e-06,-2.841113567352295,1.001628041267395
109600,96,15000.0,-1857220.580626,1928,4,0.0,1657949.5,5470,0.0,0.2,0.0003,3517564.05,0.1912440061569214,1.1540651358110666e-06,-2.8411301136016847,1.001633882522583
109700,97,15000.0,-1857220.580626,1947,4,0.0,532080.1875,5475,0.0,0.2,0.0003,1187021.75,-2.8145062923431396,-1.4185905335750703e-06,-2.8411394119262696,1.0016372203826904
109800,98,15000.0,-1857220.580626,1966,4,0.0,915037.625,5480,0.0,0.2,0.0003,1969847.025,0.22542822360992432,1.3828278078165113e-08,-2.841145467758179,1.0016400814056396
109900,99,15000.0,-1857220.580626,1987,4,0.0,322250.46875,5485,0.0,0.2,0.0003,732606.5,-2.1593620777130127,-4.160404198927381e-07,-2.841150093078613,1.0016409158706665
110000,100,15000.0,-1857220.580626,2007,4,0.0,225289.140625,5490,0.0,0.2,0.0003,506400.4625,-0.9419310092926025,-1.4953613440837898e-06,-2.8411486625671385,1.0016376972198486
110100,101,15000.0,-1857220.580626,2027,4,0.0,1960443.875,5495,0.0,0.2,0.0003,4143613.4,0.18176376819610596,-5.71966167584037e-07,-2.841141128540039,1.0016343593597412
110200,102,15000.0,-1857220.580626,2045,4,0.0,126986.2734375,5500,0.0,0.2,0.0003,303899.115625,-1.6824214458465576,-2.171516389637418e-06,-2.841135311126709,1.0016313791275024
110300,103,15000.0,-1857220.580626,2065,4,0.0,425965.4375,5505,0.0,0.2,0.0003,954002.125,0.30570757389068604,-1.0459423030795278e-06,-2.841129016876221,1.0016283988952637
110400,104,15000.0,-1857220.580626,2085,4,0.0,108015.421875,5510,0.0,0.2,0.0003,258890.8,-2.339320421218872,-1.237392460495812e-07,-2.841124153137207,1.0016264915466309
110500,105,15000.0,-1857220.580626,2106,4,0.0,1223667.375,5515,0.0,0.2,0.0003,2629697.35,0.148493230342865,6.484985064503234e-08,-2.8411209106445314,1.001625657081604
110600,106,15000.0,-1857220.580626,2126,4,0.0,336732.875,5520,0.0,0.2,0.0003,751963.5125,-0.032936811447143555,-5.695819723428031e-07,-2.841119480133057,1.0016247034072876
110700,107,15000.0,-1857220.580626,2146,4,0.0,250791.484375,5525,0.0,0.2,0.0003,584542.43125,-2.0805435180664062,-5.7220459481754915e-08,-2.8411182403564452,1.0016257762908936
110800,108,15000.0,-1857220.580626,2165,4,0.0,257690.359375,5530,0.0,0.2,0.0003,603937.03125,0.09395664930343628,1.065731062510622e-07,-2.8411219120025635,1.0016276836395264
