time/time_elapsed,time/total_timesteps,time/iterations,time/fps,train/approx_kl,train/entropy_loss,train/value_loss,train/learning_rate,train/loss,train/clip_range,train/clip_fraction,train/n_updates,train/std,train/explained_variance,train/policy_gradient_loss,rollout/ep_len_mean,rollout/ep_rew_mean
1003,9000,90,8,0.0,-2.840311145782471,4492528.2,0.0003,2222764.5,0.2,0.0,445,1.001220703125,-0.00617063045501709,-4.2271613835964673e-07,,
1013,9100,91,8,0.0,-2.8403142929077148,3993822.25,0.0003,1974514.125,0.2,0.0,450,1.0012222528457642,0.044086456298828125,-6.18457810830364e-07,,
1024,9200,92,8,0.0,-2.8403186321258547,3494385.35,0.0003,1726032.75,0.2,0.0,455,1.0012264251708984,0.06374454498291016,-1.2785195622200262e-07,,
1034,9300,93,8,0.0,-2.840329313278198,3775265.15,0.0003,1865324.375,0.2,0.0,460,1.0012327432632446,0.024554193019866943,-1.0671615882529295e-06,,
1045,9400,94,8,0.0,-2.840340185165405,3623544.3,0.0003,1790259.25,0.2,0.0,465,1.0012354850769043,-0.03867471218109131,-3.9863587346644637e-07,,
1056,9500,95,8,0.0,-2.8403429985046387,5292061.6,0.0003,2618546.5,0.2,0.0,470,1.0012362003326416,0.014397263526916504,1.6498565287292876e-07,,
1070,9600,96,8,0.0,-2.840344524383545,4397426.3,0.0003,2174271.0,0.2,0.0,475,1.0012370347976685,0.04629921913146973,-7.066726681159708e-07,,
1085,9700,97,8,0.0,-2.8403463840484617,2940045.5,0.0003,1448452.5,0.2,0.0,480,1.0012385845184326,-0.20025718212127686,-1.359462737582362e-06,,
1109,9800,98,8,0.0,-2.8403493881225588,12151447.2,0.0003,6029569.5,0.2,0.0,485,1.00123929977417,0.0031273365020751953,5.593299846395894e-07,,
1123,9900,99,8,0.0,-2.8403496742248535,7925851.5,0.0003,3927077.5,0.2,0.0,490,1.00123929977417,0.04182511568069458,2.0194053504951625e-07,,
1136,10000,100,8,0.0,-2.8403491973876953,5782525.3,0.0003,2858370.5,0.2,0.0,495,1.0012381076812744,-0.09451043605804443,-5.741119380786586e-07,,
1149,10100,101,8,0.0,-2.8403467655181887,11606832.6,0.0003,5757661.0,0.2,0.0,500,1.0012370347976685,0.054564833641052246,-1.6570091645462526e-07,,
1161,10200,102,8,0.0,-2.840344476699829,5823322.1,0.0003,2878983.25,0.2,0.0,505,1.001235842704773,0.02361476421356201,-1.6443729464299395e-06,,
1174,10300,103,8,0.0,-2.840342378616333,7170294.7,0.0003,3545405.75,0.2,0.0,510,1.0012353658676147,-0.08120489120483398,9.047985003007853e-07,,
1186,10400,104,8,0.0,-2.8403422355651857,9666181.0,0.0003,4785323.0,0.2,0.0,515,1.0012357234954834,0.007082939147949219,-3.7670135100142943e-07,,
1198,10500,105,8,0.0,-2.840343141555786,9821190.4,0.0003,4859727.5,0.2,0.0,520,1.001236081123352,-0.048047542572021484,-6.399154493408332e-07,,
1209,10600,106,8,0.0,-2.840343713760376,11208612.0,0.0003,5548272.5,0.2,0.0,525,1.001236081123352,0.05543738603591919,2.5987621654621763e-08,,
